epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/neck1,train/confmaps/forepawL1,train/confmaps/forepawR1,train/confmaps/nose1,train/confmaps/tailstart1,train/confmaps/hindpawR1,train/confmaps/hindpawL1,train/confmaps/tail1,train/confmaps/centroid1,train/confmaps/tailtip1
0,,0.006711277179419994,,,,,,,,,,,,,
0,,0.00020814189338125288,,,,,,,,,,,,,
1,0.0011350198183208704,0.00020015054906252772,9.999999747378752e-05,16.84493637084961,0.5626206398010254,0.0008264090865850449,0.0007806656649336219,0.0005049199680797756,0.0005413971375674009,0.000924734165892005,0.0013204776914790273,0.0008767898543737829,0.00025160404038615525,0.0043296776711940765,0.0010931359138339758
2,0.0001997854997171089,0.0001995339844143018,9.999999747378752e-05,14.823066711425781,0.1533043384552002,0.0002011752367252484,0.00019507043180055916,0.00019568420248106122,0.00018963792535942048,0.00020071843755431473,0.0002021697728196159,0.00020226561173330992,0.00020076324290130287,0.00020721042528748512,0.0002024728455580771
3,0.00019620182865764946,0.00019821248133666813,9.999999747378752e-05,14.619033813476562,0.1585378646850586,0.00019944120140280575,0.0001912303559947759,0.00019574363250285387,0.00018680231005419046,0.00019711110508069396,0.00019752939988393337,0.00019801955204457045,0.00019920134218409657,0.00019678939133882523,0.00019949529087170959
4,0.00019559172505978495,0.00019865688227582723,9.999999747378752e-05,14.53032112121582,0.15502548217773438,0.00019908437388949096,0.0001904337404994294,0.00019649957539513707,0.00018803255807142705,0.00019628954760264605,0.00019679275283124298,0.00019673292990773916,0.00019867249648086727,0.00019439274910837412,0.0001997537474380806
5,0.00019566179253160954,0.00019732542568817735,9.999999747378752e-05,14.975833892822266,0.15421390533447266,0.00019913505821023136,0.0001894953311420977,0.00019714813970495015,0.00018771836766973138,0.00019667638116516173,0.0001966478885151446,0.0001966432755580172,0.000199215006432496,0.00019288160547148436,0.00020048253645654768
6,0.0001953107421286404,0.00019493848958518356,9.999999747378752e-05,14.693559646606445,0.15555191040039062,0.00019850311218760908,0.00018916426051873714,0.00019969047571066767,0.00018795431242324412,0.00019566831178963184,0.00019535663886927068,0.00019533309387043118,0.00019897845049854368,0.00019186449935659766,0.00020094156207051128
7,0.00019288528710603714,0.0001861390919657424,9.999999747378752e-05,14.855182647705078,0.15179228782653809,0.00019601898384280503,0.0001858221658039838,0.00020142493303865194,0.00018594566790852696,0.00019285282178316265,0.00019171297026332468,0.00019186786084901541,0.00019797650747932494,0.0001827314990805462,0.0002016097860177979
8,0.00018910392827820033,0.00017954318900592625,9.999999747378752e-05,14.821738243103027,0.15432333946228027,0.0001877498725662008,0.0001807097578421235,0.00020380258501973003,0.0001846863015089184,0.00018986586655955762,0.00018707294657360762,0.0001860323827713728,0.0001981884561246261,0.00017200814909301698,0.00020322944328654557
9,0.00018013533554039896,0.00017646818014327437,9.999999747378752e-05,15.215496063232422,0.18022608757019043,0.00017222651513293386,0.0001759235019562766,0.00017656541604083031,0.000182886520633474,0.00018506840569898486,0.00018120056483894587,0.00018057564739137888,0.00019898488244507462,0.00014888438454363495,0.00019954262825194746
10,0.0001762906467774883,0.0001725849142530933,9.999999747378752e-05,14.924661636352539,0.1652824878692627,0.0001619337999727577,0.0001753787655616179,0.00017437813221476972,0.00017938291421160102,0.00018379546236246824,0.0001804944477044046,0.00017941970145329833,0.00019878859166055918,0.00012844573939219117,0.00020033738110214472
11,0.00017397587362211198,0.00017025441047735512,9.999999747378752e-05,14.74101448059082,0.15913128852844238,0.00016085588140413165,0.00017361028585582972,0.00017434009350836277,0.00017828308045864105,0.00018148076196666807,0.0001811191177694127,0.00017792481230571866,0.00019766057084780186,0.00011665448255371302,0.0001991317403735593
12,0.00017267813382204622,0.00016861439507920295,9.999999747378752e-05,14.871225357055664,0.15752053260803223,0.0001604016579221934,0.00017401344666723162,0.00017419060168322176,0.00017551134806126356,0.00017939612735062838,0.00018022942822426558,0.00017793182632885873,0.0001968412980204448,0.00010841561743291095,0.00019838813750538975
13,0.00017025810666382313,0.00016467303794343024,9.999999747378752e-05,14.651905059814453,0.16065526008605957,0.00015886116307228804,0.0001736955891828984,0.0001728814677335322,0.00017153257795143872,0.0001743756583891809,0.00017812379519455135,0.00017671410751063377,0.00019618173246271908,0.0001032874861266464,0.00019950338173657656
14,0.00016900543414521962,0.00016356220294255763,9.999999747378752e-05,14.98648738861084,0.16525006294250488,0.00015471948427148163,0.00017310940893366933,0.00017321806808467954,0.00016776898701209575,0.00016991807206068188,0.00017796625616028905,0.00017632562958169729,0.0001968259020941332,9.798523387871683e-05,0.00020102674898225814
15,0.0001661785936448723,0.00015955240814946592,9.999999747378752e-05,14.749001502990723,0.16208839416503906,0.000149235493154265,0.0001729665818857029,0.0001732828823151067,0.00016080198111012578,0.0001660991838434711,0.00017643127648625523,0.0001758643047651276,0.00019514937594067305,9.158220200333744e-05,0.00020091247279196978
16,0.00016449388931505382,0.00015682869707234204,9.999999747378752e-05,14.903596878051758,0.16393208503723145,0.00014359118358697742,0.00017126098100561649,0.0001714761310722679,0.0001577251823619008,0.00016471731942147017,0.00017645081970840693,0.00017573244986124337,0.0001942507369676605,8.679904567543417e-05,0.00020143535220995545
17,0.00016310712089762092,0.0001572418404975906,9.999999747378752e-05,14.53646183013916,0.16084957122802734,0.0001411989505868405,0.00017149765335489064,0.00017009361181408167,0.00015310014714486897,0.0001626527082407847,0.00017702246259432286,0.00017518432287033647,0.0001914008753374219,8.543082367395982e-05,0.00020038078946527094
18,0.00016102923837024719,0.00015256847837008536,9.999999747378752e-05,14.84084701538086,0.16315603256225586,0.00013849254173692316,0.00017215212574228644,0.0001704971946310252,0.00014950444165151566,0.00015985600475687534,0.00017566799942869693,0.00017520872643217444,0.00018947996431961656,8.048219024203718e-05,0.00020032246538903564
19,0.00015934916154947132,0.00014756225573364645,9.999999747378752e-05,14.795734405517578,0.1613919734954834,0.00013551558367908,0.00017113321518991143,0.00016808586951810867,0.00014473948976956308,0.00015986057405825704,0.00017563973960932344,0.00017504293646197766,0.00018346791330259293,8.014743070816621e-05,0.00020005959959235042
20,0.00015440137940458953,0.00014070542238187045,9.999999747378752e-05,14.806549072265625,0.15797066688537598,0.00013051743735559285,0.00017018818471115083,0.00016593227337580174,0.0001412366982549429,0.00015127901860978454,0.00017439789371564984,0.00017341473721899092,0.0001550163287902251,7.704812014708295e-05,0.0001995367929339409
21,0.0001494400348747149,0.00012481155863497406,9.999999747378752e-05,14.668051719665527,0.16010689735412598,0.00012373639037832618,0.0001682428555795923,0.00016365491319447756,0.000137782481033355,0.00014627909695263952,0.00017338200996164232,0.00017390666471328586,0.00013414828572422266,7.47303492971696e-05,0.00019856325525324792
